Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,migration_size,adaptive,-1,1,9.99059110366154
BentCigar,migration_size,adaptive,-1,2,9.99283457832226
BentCigar,migration_size,adaptive,-1,3,9.988798988853674
BentCigar,migration_size,adaptive,-1,4,9.987775711511329
BentCigar,migration_size,adaptive,-1,5,9.98223206426347
BentCigar,migration_size,adaptive,-1,6,9.989792365883911
BentCigar,migration_size,adaptive,-1,7,9.98535302315862
BentCigar,migration_size,adaptive,-1,8,9.991135257730477
BentCigar,migration_size,adaptive,-1,9,9.987354832491294
BentCigar,migration_size,adaptive,-1,10,9.988493907012765
BentCigar,migration_size,adaptive,-1,11,9.990437381425204
BentCigar,migration_size,adaptive,-1,12,9.98796887529284
BentCigar,migration_size,adaptive,-1,13,9.983477421208878
BentCigar,migration_size,adaptive,-1,14,9.991172350527407
BentCigar,migration_size,adaptive,-1,15,9.9905912513602
BentCigar,migration_size,adaptive,-1,16,9.991967330218898
BentCigar,migration_size,adaptive,-1,17,9.9850092721171
BentCigar,migration_size,adaptive,-1,18,9.985449960386916
BentCigar,migration_size,adaptive,-1,19,9.99316296747802
BentCigar,migration_size,adaptive,-1,20,9.990232797060152
BentCigar,migration_size,adaptive,-1,21,9.984476063390082
BentCigar,migration_size,adaptive,-1,22,9.98900761912975
BentCigar,migration_size,adaptive,-1,23,9.988151134844355
BentCigar,migration_size,adaptive,-1,24,9.980879741229462
BentCigar,migration_size,adaptive,-1,25,9.986722923304544
BentCigar,migration_size,adaptive,-1,26,9.986561992028898
BentCigar,migration_size,adaptive,-1,27,9.98605260343273
BentCigar,migration_size,adaptive,-1,28,9.992399168483955
BentCigar,migration_size,adaptive,-1,29,9.98981111579016
BentCigar,migration_size,adaptive,-1,30,9.987772118933329
BentCigar,migration_size,adaptive,-1,31,9.982552904346585
BentCigar,migration_size,adaptive,-1,32,9.985607961373592
BentCigar,migration_size,adaptive,-1,33,9.989681340104298
BentCigar,migration_size,adaptive,-1,34,9.990270063265376
BentCigar,migration_size,adaptive,-1,35,9.98910739161787
BentCigar,migration_size,adaptive,-1,36,9.989604767436255
BentCigar,migration_size,adaptive,-1,37,9.99065065021678
BentCigar,migration_size,adaptive,-1,38,9.985031239568036
BentCigar,migration_size,adaptive,-1,39,9.987980181885705
BentCigar,migration_size,adaptive,-1,40,9.988535502458864
BentCigar,migration_size,adaptive,-1,41,9.97970640270572
BentCigar,migration_size,adaptive,-1,42,9.994862500104073
BentCigar,migration_size,adaptive,-1,43,9.990600508032045
BentCigar,migration_size,adaptive,-1,44,9.992502513584297
BentCigar,migration_size,adaptive,-1,45,9.988296555286498
BentCigar,migration_size,adaptive,-1,46,9.983064790836844
BentCigar,migration_size,adaptive,-1,47,9.9869595202395
BentCigar,migration_size,adaptive,-1,48,9.98732581080165
BentCigar,migration_size,adaptive,-1,49,9.986398937790463
BentCigar,migration_size,adaptive,-1,50,9.990243249840203
