Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,migration_size,determinstic,-1,1,9.98798715917782
BentCigar,migration_size,determinstic,-1,2,9.98644618479837
BentCigar,migration_size,determinstic,-1,3,9.98995319480487
BentCigar,migration_size,determinstic,-1,4,9.989621658852414
BentCigar,migration_size,determinstic,-1,5,9.988177927496594
BentCigar,migration_size,determinstic,-1,6,9.986086919692065
BentCigar,migration_size,determinstic,-1,7,9.992887836042192
BentCigar,migration_size,determinstic,-1,8,9.989848940633886
BentCigar,migration_size,determinstic,-1,9,9.997365527429181
BentCigar,migration_size,determinstic,-1,10,9.98589760380126
BentCigar,migration_size,determinstic,-1,11,9.998040174493394
BentCigar,migration_size,determinstic,-1,12,9.989885599543255
BentCigar,migration_size,determinstic,-1,13,9.986569504629841
BentCigar,migration_size,determinstic,-1,14,9.99389221603359
BentCigar,migration_size,determinstic,-1,15,9.993853705918145
BentCigar,migration_size,determinstic,-1,16,9.98845530546765
BentCigar,migration_size,determinstic,-1,17,9.989120008723493
BentCigar,migration_size,determinstic,-1,18,9.987964287168303
BentCigar,migration_size,determinstic,-1,19,9.990624992031577
BentCigar,migration_size,determinstic,-1,20,9.98169506713512
BentCigar,migration_size,determinstic,-1,21,9.982383993022044
BentCigar,migration_size,determinstic,-1,22,9.992548287684215
BentCigar,migration_size,determinstic,-1,23,9.978554633148201
BentCigar,migration_size,determinstic,-1,24,9.988810164106443
BentCigar,migration_size,determinstic,-1,25,9.98615801794203
BentCigar,migration_size,determinstic,-1,26,9.99184134787937
BentCigar,migration_size,determinstic,-1,27,9.988190918862788
BentCigar,migration_size,determinstic,-1,28,9.990119045631683
BentCigar,migration_size,determinstic,-1,29,9.984094773140594
BentCigar,migration_size,determinstic,-1,30,9.98848833061549
BentCigar,migration_size,determinstic,-1,31,9.980587151671777
BentCigar,migration_size,determinstic,-1,32,9.993480483175773
BentCigar,migration_size,determinstic,-1,33,9.987111556338853
BentCigar,migration_size,determinstic,-1,34,9.98322253486335
BentCigar,migration_size,determinstic,-1,35,9.995440039832008
BentCigar,migration_size,determinstic,-1,36,9.992008934230757
BentCigar,migration_size,determinstic,-1,37,9.989121613246065
BentCigar,migration_size,determinstic,-1,38,9.990665658771778
BentCigar,migration_size,determinstic,-1,39,9.986044784807806
BentCigar,migration_size,determinstic,-1,40,9.993667991666362
BentCigar,migration_size,determinstic,-1,41,9.987999646146172
BentCigar,migration_size,determinstic,-1,42,9.988085961307805
BentCigar,migration_size,determinstic,-1,43,9.983540433257929
BentCigar,migration_size,determinstic,-1,44,9.982122058980734
BentCigar,migration_size,determinstic,-1,45,9.983816911709502
BentCigar,migration_size,determinstic,-1,46,9.987075019442669
BentCigar,migration_size,determinstic,-1,47,9.982104604965281
BentCigar,migration_size,determinstic,-1,48,9.984925359786905
BentCigar,migration_size,determinstic,-1,49,9.983893868166703
BentCigar,migration_size,determinstic,-1,50,9.984112865223429
